name,category,lat,lon,tags
(unnamed),recycling,52.038247,4.3186875,"{""amenity"": ""recycling"", ""location"": ""underground"", ""operator"": ""Avalex"", ""operator:wikidata"": ""Q58477507"", ""recycling:green_waste"": ""yes"", ""recycling:pmd"": ""yes"", ""recycling:waste"": ""yes"", ""recycling_type"": ""container"", ""source"": ""survey""}"
Broekpolder,stop_position,52.0497604,4.3454691,"{""name"": ""Broekpolder"", ""network"": ""Rail Haaglanden"", ""network:wikidata"": ""Q108718111"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""1"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
McDonald's,fast_food,52.0359743,4.316177,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""16"", ""addr:postcode"": ""2284DM"", ""addr:street"": ""Bogaardplein"", ""amenity"": ""fast_food"", ""branch"": ""Rijswijk Bogaard"", ""brand"": ""McDonald's"", ""brand:website"": ""https://www.mcdonalds.com"", ""brand:wikidata"": ""Q38076"", ""cuisine"": ""burger"", ""indoor_seating"": ""yes"", ""internet_access"": ""wlan"", ""name"": ""McDonald's"", ""outdoor_seating"": ""yes"", ""phone"": ""+31 70 3961123"", ""source"": ""BAG"", ""source:date"": ""2014-02-11"", ""takeaway"": ""yes"", ""website"": ""https://www.mcdonalds.com/nl/nl-nl/location/RIJSWIJK/mcdonalds-Rijswijk-Bogaard/Bogaardplein-16/850025.html"", ""wheelchair"": ""yes""}"
ALDI,supermarket,52.0568111,4.3374012,"{""brand"": ""ALDI"", ""brand:wikidata"": ""Q41171373"", ""brand:wikipedia"": ""en:Aldi"", ""check_date"": ""2024-11-21"", ""description"": ""Rijswijk,Herenstraat 2"", ""name"": ""ALDI"", ""note"": ""ODBL clean: geen disclaimer/copyright aangetroffen op winkelgegevens Aldi (stand: juni 2012)"", ""opening_hours"": ""Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-18:00; Su 12:00-17:00"", ""shop"": ""supermarket""}"
K.R.S.V Vredenburch,community_centre,52.0501879,4.3220083,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""15b"", ""addr:postcode"": ""2282NW"", ""addr:street"": ""Julialaantje"", ""amenity"": ""community_centre"", ""club"": ""sport"", ""community_centre"": ""club_home"", ""name"": ""K.R.S.V Vredenburch"", ""official_name"": ""Katholieke Rijswijkse Sportvereniging \""Vredenburch\"""", ""source"": ""BAG"", ""source:date"": ""2014-02-11"", ""sport"": ""soccer"", ""website"": ""https://www.krsv-vredenburch.nl/""}"
Sporthal De Schilp,sports_centre,52.0382537,4.2987329,"{""leisure"": ""sports_centre"", ""name"": ""Sporthal De Schilp"", ""phone"": ""+31 70 394 1507""}"
P5,parking_entrance,52.0388393,4.3136912,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""85B"", ""addr:postcode"": ""2283BK"", ""addr:street"": ""Generaal Spoorlaan"", ""amenity"": ""parking_entrance"", ""fee"": ""yes"", ""name"": ""P5"", ""operator"": ""Q-Park"", ""parking"": ""underground""}"
"Rijswijk, 't Haantje",stop_position,52.0232805,4.3462789,"{""bus"": ""yes"", ""name"": ""Rijswijk, 't Haantje"", ""public_transport"": ""stop_position""}"
"Rijswijk, Wethouder Brederodelaan",stop_position,52.0308602,4.312423,"{""bus"": ""yes"", ""name"": ""Rijswijk, Wethouder Brederodelaan"", ""public_transport"": ""stop_position""}"
Rijswijk,stop_position,52.0373977,4.3219491,"{""name"": ""Rijswijk"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""railway:ref"": ""Rsw"", ""ref"": ""1"", ""train"": ""yes""}"
